Link,Price,Address,Surface,Location
https://departamento.mercadolibre.com.ar/MLA-829880829-av-peron-850-san-fernando-_JM,20.000,Av. Perón   800 5°,70 m² totales,"San Fernando, Bs.as. G.b.a. Norte"
https://departamento.mercadolibre.com.ar/MLA-831152165-countries-y-barrios-cerrados-alquiler-buena-vista-_JM,29.000,Uruguay  Al 200,77 m² totales,"San Fernando, Bs.as. G.b.a. Norte"
